year	day	hour	rain	temperature	water_L0_crust0	water_L0_crust1	water_L0_crust2	water_L0_crust3	water_L0_veg	moisture_L1_crust0	moisture_L1_crust1	moisture_L1_crust2	moisture_L1_crust3	moisture_L1_veg	moisture_L2_crust0	moisture_L2_crust1	moisture_L2_crust2	moisture_L2_crust3	moisture_L2_veg	infiltration_L1_crust0	infiltration_L1_crust1	infiltration_L1_crust2	infiltration_L1_crust3	infiltration_L1_veg	drainage_L1_crust0	drainage_L1_crust1	drainage_L1_crust2	drainage_L1_crust3	drainage_L1_veg	drainage_L2_crust0	drainage_L2_crust1	drainage_L2_crust2	drainage_L2_crust3	drainage_L2_veg	QD_L0_crust0	QD_L0_crust1	QD_L0_crust2	QD_L0_crust3	QD_L0_veg	EP_L1_crust0	EP_L1_crust1	EP_L1_crust2	EP_L1_crust3	EP_L1_veg
0	0	0	0	10.21	0	0	0	0	0	0	0	0	0.215116	0.215116	0	0	0	0.270913	0.270913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	9.68667	0	0	0	0	0	0	0	0	0.215232	0.215232	0	0	0	0.270826	0.270826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	9.55333	0	0	0	0	0	0	0	0	0.215348	0.215348	0	0	0	0.270739	0.270739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	0	9.42	0	0	0	0	0	0	0	0	0.215463	0.215463	0	0	0	0.270653	0.270653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	4	0	9.29	0	0	0	0	0	0	0	0	0.215578	0.215578	0	0	0	0.270567	0.270567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	5	0	9.16	0	0	0	0	0	0	0	0	0.215692	0.215692	0	0	0	0.270481	0.270481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6	0	9.16	0	0	0	0	0	0	0	0	0.215806	0.215806	0	0	0	0.270395	0.270395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	7	0	9.15667	0	0	0	0	0	0	0	0	0.21592	0.21592	0	0	0	0.27031	0.27031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	8	0	7.56333	0	0	0	0	0	0	0	0	0.216033	0.216033	0	0	0	0.270226	0.270226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	9	0	9.41667	0	0	0	0	0	0	0	0	0.216145	0.216145	0	0	0	0.270141	0.270141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	10	0	13.5733	0	0	0	0	0	0	0	0	0.216258	0.216258	0	0	0	0.270057	0.270057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	11	0	14.9767	0	0	0	0	0	0	0	0	0.216369	0.216369	0	0	0	0.269973	0.269973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	12	0	17.2667	0	0	0	0	0	0	0	0	0.216481	0.216481	0	0	0	0.269889	0.269889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	13	0	17.14	0	0	0	0	0	0	0	0	0.216592	0.216592	0	0	0	0.269806	0.269806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	14	0	16.76	0	0	0	0	0	0	0	0	0.216703	0.216703	0	0	0	0.269723	0.269723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	15	0	17.14	0	0	0	0	0	0	0	0	0.216813	0.216813	0	0	0	0.26964	0.26964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	16	0	16.76	0	0	0	0	0	0	0	0	0.216923	0.216923	0	0	0	0.269558	0.269558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	17	0	16.25	0	0	0	0	0	0	0	0	0.217032	0.217032	0	0	0	0.269476	0.269476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	18	0	12.6767	0	0	0	0	0	0	0	0	0.217141	0.217141	0	0	0	0.269394	0.269394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	19	0	12.16	0	0	0	0	0	0	0	0	0.21725	0.21725	0	0	0	0.269313	0.269313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	20	0	11.9	0	0	0	0	0	0	0	0	0.217358	0.217358	0	0	0	0.269232	0.269232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
