year month day hour precipitation[mm] temperature[degC]
0 0 0 0 0 10.21
0 0 0 1 0 9.68666666666667
0 0 0 2 0 9.55333333333333
0 0 0 3 0 9.42
0 0 0 4 0 9.29
0 0 0 5 0 9.16
0 0 0 6 0 9.16
0 0 0 7 0 9.15666666666667
0 0 0 8 0 7.56333333333333
0 0 0 9 0 9.41666666666667
0 0 0 10 0 13.5733333333333
0 0 0 11 0 14.9766666666667
0 0 0 12 0 17.2666666666667
0 0 0 13 0 17.14
0 0 0 14 0 16.76
0 0 0 15 0 17.14
0 0 0 16 0 16.76
0 0 0 17 0 16.25
0 0 0 18 0 12.6766666666667
0 0 0 19 0 12.16
0 0 0 20 0 11.9
0 0 0 21 0 11.38
0 0 0 22 0 10.73
0 0 0 23 0 10.86
0 0 1 0 0 10.99
0 0 1 1 0 10.6
0 0 1 2 0 10.6
0 0 1 3 0 10.47
0 0 1 4 0 10.47
0 0 1 5 0 9.55333333333333
0 0 1 6 0 7.56333333333333
0 0 1 7 0 6.48666666666667
0 0 1 8 0 5.94666666666667
0 0 1 9 0 6.75
0 0 1 10 0 13.5666666666667
0 0 1 11 0 16.7566666666667
0 0 1 12 0 19.9333333333333
0 0 1 13 0 20.1866666666667
0 0 1 14 0 20.3133333333333
0 0 1 15 0 18.5333333333333
0 0 1 16 0 17.9
0 0 1 17 0 14.9766666666667
0 0 1 18 0 11.38
0 0 1 19 0 10.6
0 0 1 20 0 9.02666666666667
0 0 1 21 0 8.23
0 0 1 22 0 8.23
0 0 1 23 0 7.43
0 0 2 0 0 7.29666666666667
0 0 2 1 0 6.21666666666667
0 0 2 2 0 5.81
0 0 2 3 0 6.21666666666667
0 0 2 4 0 6.21666666666667
0 0 2 5 0 6.22
0 0 2 6 0 5.53666666666667
0 0 2 7 0 5.12666666666667
0 0 2 8 0 4.84666666666667
0 0 2 9 0 5.94
0 0 2 10 0 11.1166666666667
0 0 2 11 0 14.9766666666667
0 0 2 12 0 16.76
0 0 2 13 0 17.9
0 0 2 14 0 19.8033333333333
0 0 2 15 0 16
0 0 2 16 0 15.9966666666667
0 0 2 17 0 14.5966666666667
0 0 2 18 0 11.77
0 0 2 19 0 10.6
0 0 2 20 0 10.47
0 0 2 21 0 10.34
0 0 2 22 0 10.21
0 0 2 23 0 9.68666666666667
0 0 3 0 0 9.68666666666667
0 0 3 1 0 9.68666666666667
0 0 3 2 0 9.16
0 0 3 3 0 9.29
0 0 3 4 0 9.42333333333333
0 0 3 5 0 9.68666666666667
0 0 3 6 0 8.76333333333333
0 0 3 7 0 8.09666666666667
0 0 3 8 0 7.69666666666667
0 0 3 9 0 9.15666666666667
0 0 3 10 0 12.0266666666667
0 0 3 11 0 15.61
0 0 3 12 0 15.1066666666667
0 0 3 13 0 15.6166666666667
0 0 3 14 0.245 17.6466666666667
0 0 3 15 0 18.6633333333333
0 0 3 16 0 16.38
0 0 3 17 0 15.49
0 0 3 18 0 14.2166666666667
0 0 3 19 0 14.09
0 0 3 20 0.49 13.83
0 0 3 21 0 13.4466666666667
0 0 3 22 0.49 12.5466666666667
0 0 3 23 0.735 12.2866666666667
0 0 4 0 3.675 12.03
0 0 4 1 0.245 9.81666666666667
0 0 4 2 4.165 10.4666666666667
0 0 4 3 0 9.42333333333333
0 0 4 4 0 10.4666666666667
0 0 4 5 0 10.86
0 0 4 6 0 11.51
0 0 4 7 0 10.34
0 0 4 8 0 9.16
0 0 4 9 0 9.68666666666667
0 0 4 10 0 11.77
0 0 4 11 0 14.4666666666667
0 0 4 12 0.245 16.76
0 0 4 13 0 17.6466666666667
0 0 4 14 0 17.3933333333333
0 0 4 15 0 20.1866666666667
0 0 4 16 0 18.4066666666667
0 0 4 17 0 15.4866666666667
0 0 4 18 0 13.7033333333333
0 0 4 19 0 13.06
0 0 4 20 0 13.06
0 0 4 21 0 12.93
0 0 4 22 0 12.8033333333333
0 0 4 23 0 12.29
0 0 5 0 0 12.6766666666667
0 0 5 1 0 12.42
0 0 5 2 0 11.77
0 0 5 3 0 11.12
0 0 5 4 0 10.73
0 0 5 5 0 10.34
0 0 5 6 0 9.95
0 0 5 7 0 9.68666666666667
0 0 5 8 0 9.16
0 0 5 9 0 10.0733333333333
0 0 5 10 0 13.19
0 0 5 11 0 14.5966666666667
0 0 5 12 0 15.6133333333333
0 0 5 13 0 16.5066666666667
0 0 5 14 0 17.14
0 0 5 15 0 18.28
0 0 5 16 0 17.6466666666667
0 0 5 17 0 14.72
0 0 5 18 0 12.03
0 0 5 19 0 12.03
0 0 5 20 0 10.99
0 0 5 21 0 10.08
0 0 5 22 0 9.68666666666667
0 0 5 23 0.245 9.68666666666667
0 0 6 0 0.245 8.89666666666667
0 0 6 1 0 8.76333333333333
0 0 6 2 0.245 8.76333333333333
0 0 6 3 3.43 8.76333333333333
0 0 6 4 0.735 8.23
0 0 6 5 3.92 8.23
0 0 6 6 3.675 8.23
0 0 6 7 3.185 8.09666666666667
0 0 6 8 3.92 8.23
0 0 6 9 0.735 8.23
0 0 6 10 2.695 8.63
0 0 6 11 0 9.03
0 0 6 12 9.31 9.03
0 0 6 13 0 9.42333333333333
0 0 6 14 2.205 10.47
0 0 6 15 0 12.2766666666667
0 0 6 16 0 14.0833333333333
0 0 6 17 0 13.06
0 0 6 18 0 10.86
0 0 6 19 0 10.99
0 0 6 20 0 10.21
0 0 6 21 0 10.21
0 0 6 22 0 8.49666666666667
0 0 6 23 0 7.69666666666667
0 0 7 0 0 7.16333333333333
0 0 7 1 0 6.62
0 0 7 2 0 6.22
0 0 7 3 0 6.35333333333333
0 0 7 4 0 5.4
0 0 7 5 0 4.99
0 0 7 6 0 5.12666666666667
0 0 7 7 0 4.71
0 0 7 8 0 4.15333333333333
0 0 7 9 0 4.15
0 0 7 10 0 5.66333333333333
0 0 7 11 0 7.56333333333333
0 0 7 12 0 8.36333333333333
0 0 7 13 0 8.49666666666667
0 0 7 14 0 7.02333333333333
0 0 7 15 0 8.23
0 0 7 16 0 7.69666666666667
0 0 7 17 0 5.94333333333333
0 0 7 18 0 3.73333333333333
0 0 7 19 0 3.31
0 0 7 20 0 3.17
0 0 7 21 0 3.31
0 0 7 22 0 3.31
0 0 7 23 0 3.45333333333333
0 0 8 0 0 3.31
0 0 8 1 0 3.31
0 0 8 2 0 2.88666666666667
0 0 8 3 0 2.31666666666667
0 0 8 4 0 2.46
0 0 8 5 0 2.46
0 0 8 6 0 2.03
0 0 8 7 0 2.17333333333333
0 0 8 8 0 2.60333333333333
0 0 8 9 0 3.73
0 0 8 10 0 7.03
0 0 8 11 0 7.83
0 0 8 12 0 9.55666666666667
0 0 8 13 0 10.99
0 0 8 14 0 11.38
0 0 8 15 0 11.51
0 0 8 16 0 10.6
0 0 8 17 0 8.62666666666667
0 0 8 18 0 5.12333333333333
0 0 8 19 0 4.15
0 0 8 20 0 4.01333333333333
0 0 8 21 0 3.74
0 0 8 22 0 3.31
0 0 8 23 0 3.45333333333333
0 0 9 0 0 3.74
0 0 9 1 0 3.59666666666667
0 0 9 2 0 3.31
0 0 9 3 0 2.88666666666667
0 0 9 4 0 0.27
0 0 9 5 0 -1.51
0 0 9 6 0 -1.51333333333333
0 0 9 7 0 -1.36
0 0 9 8 0 -1.51
0 0 9 9 0 -0.173333333333333
0 0 9 10 0 5.51666666666667
0 0 9 11 0 9.94333333333333
0 0 9 12 0 11.51
0 0 9 13 0 10.73
0 0 9 14 0 9.02666666666667
0 0 9 15 0 8.09666666666667
0 0 9 16 0 6.35333333333333
0 0 9 17 1.47 4.71
0 0 9 18 0 3.73333333333333
0 0 9 19 0 2.89
0 0 9 20 0 3.03
0 0 9 21 0 3.31
0 0 9 22 0 3.03
0 0 9 23 0 3.02666666666667
0 0 10 0 0 2.74666666666667
0 0 10 1 0 2.74666666666667
0 0 10 2 0 3.03
0 0 10 3 0.245 2.60333333333333
0 0 10 4 0 2.31666666666667
0 0 10 5 0 2.46
0 0 10 6 0 2.74333333333333
0 0 10 7 0 2.31666666666667
0 0 10 8 0 2.89
0 0 10 9 0 3.45
0 0 10 10 0 7.15666666666667
0 0 10 11 0 10.8533333333333
0 0 10 12 0 16.5066666666667
0 0 10 13 0 17.3933333333333
0 0 10 14 0 20.1866666666667
0 0 10 15 0 19.68
0 0 10 16 0 18.1533333333333
0 0 10 17 0 15.6166666666667
0 0 10 18 0 13.5766666666667
0 0 10 19 0 13.06
0 0 10 20 0 12.55
0 0 10 21 0 13.19
0 0 10 22 0 12.16
0 0 10 23 0 12.16
0 0 11 0 0 11.9
0 0 11 1 0 11.51
0 0 11 2 0 10.6
0 0 11 3 0 7.56
0 0 11 4 0 7.29666666666667
0 0 11 5 0 7.16333333333333
0 0 11 6 0 6.49
0 0 11 7 0 5.81
0 0 11 8 0 6.08333333333333
0 0 11 9 0 6.62333333333333
0 0 11 10 0 8.23
0 0 11 11 0 9.81666666666667
0 0 11 12 0 11.77
0 0 11 13 0 12.8033333333333
0 0 11 14 0 15.87
0 0 11 15 0 15.8733333333333
0 0 11 16 0 15.36
0 0 11 17 0 15.23
0 0 11 18 0 14.85
0 0 11 19 0 14.3433333333333
0 0 11 20 0 15.1066666666667
0 0 11 21 0 15.1066666666667
0 0 11 22 0 13.3166666666667
0 0 11 23 0 13.7
0 0 12 0 0 13.7033333333333
0 0 12 1 0 12.9333333333333
0 0 12 2 0 12.29
0 0 12 3 0 12.16
0 0 12 4 0 12.03
0 0 12 5 0 11.64
0 0 12 6 0 12.16
0 0 12 7 0 11.9
0 0 12 8 0 11.77
0 0 12 9 0 12.6766666666667
0 0 12 10 0 14.0866666666667
0 0 12 11 0 14.8533333333333
0 0 12 12 0 17.14
0 0 12 13 0 17.9
0 0 12 14 0 16.2533333333333
0 0 12 15 0 16
0 0 12 16 0 15.6166666666667
0 0 12 17 0 14.85
0 0 12 18 0 12.93
0 0 12 19 0 11.64
0 0 12 20 0 10.86
0 0 12 21 0.245 10.86
0 0 12 22 0.98 10.6
0 0 12 23 0 10.34
0 0 13 0 0 9.95
0 0 13 1 0 9.68666666666667
0 0 13 2 0 10.08
0 0 13 3 0 10.6
0 0 13 4 0 10.47
0 0 13 5 0 13.8266666666667
0 0 13 6 0 14.9766666666667
0 0 13 7 0 14.85
0 0 13 8 0 14.47
0 0 13 9 0 14.5966666666667
0 0 13 10 0 15.7433333333333
0 0 13 11 0 17.52
0 0 13 12 0 18.1533333333333
0 0 13 13 0 18.7866666666667
0 0 13 14 0 19.04
0 0 13 15 0 18.28
0 0 13 16 0 17.52
0 0 13 17 0 15.49
0 0 13 18 0 13.1866666666667
0 0 13 19 0 12.29
0 0 13 20 0 12.42
0 0 13 21 0 12.16
0 0 13 22 0 12.16
0 0 13 23 0 12.16
0 0 14 0 0 12.03
0 0 14 1 0 12.16
0 0 14 2 0 12.42
0 0 14 3 0 12.42
0 0 14 4 0 12.6766666666667
0 0 14 5 0 12.42
0 0 14 6 0 11.38
0 0 14 7 0 10.47
0 0 14 8 0 10.21
0 0 14 9 0 10.99
0 0 14 10 0 14.5866666666667
0 0 14 11 0 18.4066666666667
0 0 14 12 0 19.1666666666667
0 0 14 13 0 19.4233333333333
0 0 14 14 0 20.06
0 0 14 15 0 19.17
0 0 14 16 0 15.87
0 0 14 17 0 13.5733333333333
0 0 14 18 0 11.64
0 0 14 19 0 10.73
0 0 14 20 0 9.68666666666667
0 0 14 21 0 9.16
0 0 14 22 0 9.03
0 0 14 23 0 9.03
0 0 15 0 0 9.03
0 0 15 1 0 8.36333333333333
0 0 15 2 0 7.56333333333333
0 0 15 3 0 6.89333333333333
0 0 15 4 0 6.35333333333333
0 0 15 5 0 6.08333333333333
0 0 15 6 0 5.67333333333333
0 0 15 7 0 6.35333333333333
0 0 15 8 0 6.48666666666667
0 0 15 9 0 7.42666666666667
0 0 15 10 0 12.1466666666667
0 0 15 11 0 16.7566666666667
0 0 15 12 0 20.3166666666667
0 0 15 13 0 20.3166666666667
0 0 15 14 0 19.68
0 0 15 15 0 19.6766666666667
0 0 15 16 0 16.1233333333333
